latent_dim,siamese_hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,score
512,"[1614, 1488, 684, 1594]",5,0.39517431201595965,128,128,128,adadelta,0.0036950254520777804,0.0007592828240746042,"{'model_type': 'rnn', 'dim': 20, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 17}","{'dim': 50, 'update_pairs': False}",{'dim': 512},-457.06485521475287
64,"[215, 1701, 1328, 1772]",5,0.3341213431862927,256,128,128,adadelta,0.01947026429290934,0.0016413575147853322,"{'model_type': 'rnn', 'dim': 7, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 32}","{'dim': 50, 'update_pairs': False}",{'dim': 91},-467.133488872058
128,"[273, 681, 1115, 1098]",5,0.3793797790345478,256,128,128,rmsprop,0.47899279358497326,0.0001870968413294366,"{'model_type': 'rnn', 'dim': 12, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 20}","{'dim': 50, 'update_pairs': False}",{'dim': 198},-523.5340168706518
128,"[913, 1880]",5,0.2994855148999294,256,128,128,adadelta,0.3077740451319955,0.0010731588730279822,"{'model_type': 'rnn', 'dim': 12, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 43}","{'dim': 50, 'update_pairs': False}",{'dim': 192},-746.5375896838996
64,"[174, 2038, 1650, 2046]",5,0.43086555243417024,256,128,128,adamax,0.15297339091101272,0.0012908698817131455,"{'model_type': 'rnn', 'dim': 15, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 15}","{'dim': 50, 'update_pairs': False}",{'dim': 491},-1083.324966787559
256,"[595, 970, 596, 1725]",5,0.20820586584415748,256,128,128,adam,0.0018191385764705784,0.3668059597657605,"{'model_type': 'rnn', 'dim': 13, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 27}","{'dim': 50, 'update_pairs': False}",{'dim': 159},-1421.7179829268787
128,"[1883, 280, 1047]",5,0.27474426511792704,256,128,128,adadelta,0.1552078330769296,0.0013514865791745205,"{'model_type': 'rnn', 'dim': 25, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 5}","{'dim': 50, 'update_pairs': False}",{'dim': 217},-1551.8013354002694
512,"[75, 1688]",5,0.24899816023366805,128,128,128,sgd,0.2337294130958766,0.001027079386914412,"{'model_type': 'rnn', 'dim': 38, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 28}","{'dim': 50, 'update_pairs': False}",{'dim': 430},-2007.8312213254806
64,"[407, 615, 1651, 1956]",5,0.1906804122332385,256,128,128,adam,0.017999577846934994,0.2933808960664766,"{'model_type': 'rnn', 'dim': 16, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 14}","{'dim': 50, 'update_pairs': False}",{'dim': 252},-2035.0624937210382
512,"[999, 433, 1773]",5,0.23749863820054362,128,128,128,sgd,0.0035276752584917563,0.0011717427023685166,"{'model_type': 'rnn', 'dim': 10, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 44}","{'dim': 50, 'update_pairs': False}",{'dim': 443},-4004.083632893148
256,"[1640, 98]",5,0.3236494734230161,256,128,128,rmsprop,0.02857521258691966,0.91928804207376,"{'model_type': 'rnn', 'dim': 14, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 21}","{'dim': 50, 'update_pairs': False}",{'dim': 442},-4025.4335575924065
256,"[1435, 1491]",5,0.26436974908360766,256,128,128,sgd,0.004018557868115633,0.0323048729487371,"{'model_type': 'rnn', 'dim': 20, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 16}","{'dim': 50, 'update_pairs': False}",{'dim': 375},-10000.0
512,"[2026, 436, 1994, 456]",5,0.14732226878707183,128,128,128,sgd,0.000194136048327709,0.32739547061304286,"{'model_type': 'rnn', 'dim': 6, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 13}","{'dim': 50, 'update_pairs': False}",{'dim': 365},-10000.0
128,"[965, 1825]",5,0.14366868468970362,256,128,128,sgd,0.692369343054936,0.5992634180953508,"{'model_type': 'rnn', 'dim': 19, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 30}","{'dim': 50, 'update_pairs': False}",{'dim': 65},-10000.0
512,"[258, 1720]",5,0.13441310969710002,256,128,128,sgd,0.00032861083317238185,0.6779746172254053,"{'model_type': 'rnn', 'dim': 6, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 6}","{'dim': 50, 'update_pairs': False}",{'dim': 508},-10000.0
256,"[1235, 1176, 569, 424]",5,0.49206297217451045,128,128,128,sgd,0.3150116298029864,0.012547059251457233,"{'model_type': 'rnn', 'dim': 42, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 31}","{'dim': 50, 'update_pairs': False}",{'dim': 185},-10000.0
128,"[1354, 1491, 637]",5,0.3901450894947549,256,128,128,sgd,0.0007299735274699332,0.021196447519025562,"{'model_type': 'rnn', 'dim': 31, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 24}","{'dim': 50, 'update_pairs': False}",{'dim': 173},-10000.0
512,"[778, 526, 961]",5,0.49658609864609116,128,128,128,sgd,0.004185437306580342,0.9150054134880035,"{'model_type': 'rnn', 'dim': 18, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 31}","{'dim': 50, 'update_pairs': False}",{'dim': 115},-10000.0
